I/O Type Specific,Terminal Style,Rung Placement,Labeling Scheme,Notes,Default Standard,Terminal Style Definition,Term Brand,IT or MT,Fusing,Card Power Term L1,Card Power Term L2,Term Short Name
AI-C-DF,Lj&L&G|PXC|24V,0&2&3,#+&#-&#SH,,,Lj&L&G|PXC|24V|0&2&3|#+&#-&#SH,PXC,IT,None,No,No,TBD
AI-C-DF,Lj&L&G|TE|24V,0&2&3,#+&#-&#SH,,,Lj&L&G|TE|24V|0&2&3|#+&#-&#SH,TE,IT,None,No,No,TBD
AI-C-DF,Lj&L&G|TE|24V,0&2&3,#+&#-&#SH,,,Lj&L&G|TE|24V|0&2&3|#+&#-&#SH,TE,IT,None,No,No,TBD
AI-C-DF,Lj&L&G|WAGO|24V,0&2&3,#+&#-&#SH,,,Lj&L&G|WAGO|24V|0&2&3|#+&#-&#SH,WAGO,IT,None,No,No,TBD
AI-C-DF,Lj&L&G|WAGO|24V,0&2&3,#+&#-&#SH,,,Lj&L&G|WAGO|24V|0&2&3|#+&#-&#SH,WAGO,IT,None,No,No,TBD
AI-C-DF,Lj;L;G|PXC|24V,0;2;3,#+;#-;#SH,,,Lj;L;G|PXC|24V|0;2;3|#+;#-;#SH,PXC,MT,None,No,No,TBD
AI-C-DF,Lj;L;G|PXC|24V,0;2;3,#+;#-;#SH,,,Lj;L;G|PXC|24V|0;2;3|#+;#-;#SH,PXC,MT,None,No,No,TBD
AI-C-DF,Lj;L;G|TE|24V,0;2;3,#+;#-;#SH,,,Lj;L;G|TE|24V|0;2;3|#+;#-;#SH,TE,MT,None,No,No,TBD
AI-C-DF,Lj;L;G|TE|24V,0;2;3,#+;#-;#SH,,,Lj;L;G|TE|24V|0;2;3|#+;#-;#SH,TE,MT,None,No,No,TBD
AI-C-DF,Lj;L;G|WAGO|24V,0;2;3,#+;#-;#SH,,,Lj;L;G|WAGO|24V|0;2;3|#+;#-;#SH,WAGO,MT,None,No,No,TBD
AI-C-DF,Lj;L;G|WAGO|24V,0;2;3,#+;#-;#SH,,,Lj;L;G|WAGO|24V|0;2;3|#+;#-;#SH,WAGO,MT,None,No,No,TBD
