Description,Name,Lookup Type,Cable Instance,DT Suffix,Size,Color Full,Color,Conn_Designation,Channel,PLC Conn ID
Belden 8619 120V 2 Cables 1 PLC Conns per Channel,8619_120_2Cable_1Conn,Channel_Conn,0,#1,18 AWG,Green,GRN,,1,0
Belden 8619 120V 2 Cables 1 PLC Conns per Channel,8619_120_2Cable_1Conn,Channel_Conn,0,#1,18 AWG,Orange,ORG,,2,0
Belden 8619 120V 2 Cables 1 PLC Conns per Channel,8619_120_2Cable_1Conn,Channel_Conn,0,#1,18 AWG,Blue,BLU,,3,0
Belden 8619 120V 2 Cables 1 PLC Conns per Channel,8619_120_2Cable_1Conn,Channel_Conn,0,#1,18 AWG,White/Black,WHT/BLK,,4,0
Belden 8619 120V 2 Cables 1 PLC Conns per Channel,8619_120_2Cable_1Conn,Channel_Conn,0,#1,18 AWG,Red/Black,RED/BLK,,5,0
Belden 8619 120V 2 Cables 1 PLC Conns per Channel,8619_120_2Cable_1Conn,Channel_Conn,0,#1,18 AWG,Green/Black,GRN/BLK,,6,0
Belden 8619 120V 2 Cables 1 PLC Conns per Channel,8619_120_2Cable_1Conn,Channel_Conn,0,#1,18 AWG,Orange/Black,ORG/BLK,,7,0
Belden 8619 120V 2 Cables 1 PLC Conns per Channel,8619_120_2Cable_1Conn,Channel_Conn,0,#1,18 AWG,Blue/Black,BLU/BLK,,8,0
Belden 8619 120V 2 Cables 1 PLC Conns per Channel,8619_120_2Cable_1Conn,Channel_Conn,0,#1,18 AWG,Black/White,BLK/WHT,,9,0
Belden 8619 120V 2 Cables 1 PLC Conns per Channel,8619_120_2Cable_1Conn,Channel_Conn,0,#1,18 AWG,Red/White,RED/WHT,,10,0
Belden 8619 120V 2 Cables 1 PLC Conns per Channel,8619_120_2Cable_1Conn,Channel_Conn,0,#1,18 AWG,Green/White,GRN/WHT,,11,0
Belden 8619 120V 2 Cables 1 PLC Conns per Channel,8619_120_2Cable_1Conn,Channel_Conn,0,#1,18 AWG,Blue/White,BLU/WHT,,12,0
Belden 8619 120V 2 Cables 1 PLC Conns per Channel,8619_120_2Cable_1Conn,Channel_Conn,0,#1,18 AWG,Black/Red,BLK/RED,,13,0
Belden 8619 120V 2 Cables 1 PLC Conns per Channel,8619_120_2Cable_1Conn,Channel_Conn,0,#1,18 AWG,White/Red,WHT/RED,,14,0
Belden 8619 120V 2 Cables 1 PLC Conns per Channel,8619_120_2Cable_1Conn,Channel_Conn,0,#1,18 AWG,Orange/Red,ORG/RED,,15,0
Belden 8619 120V 2 Cables 1 PLC Conns per Channel,8619_120_2Cable_1Conn,Channel_Conn,0,#1,18 AWG,Blue/Red,BLU/RED,,,
Belden 8619 120V 2 Cables 1 PLC Conns per Channel,8619_120_2Cable_1Conn,Channel_Conn,0,#1,18 AWG,Black,BLK,,T,0
Belden 8619 120V 2 Cables 1 PLC Conns per Channel,8619_120_2Cable_1Conn,Channel_Conn,0,#1,18 AWG,White,WHT,,,
Belden 8619 120V 2 Cables 1 PLC Conns per Channel,8619_120_2Cable_1Conn,Channel_Conn,1,#2,18 AWG,Red,RED,,16,0
